subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Mediterranee,FEMEN,Generation_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_realistes,Mouvement_Europeen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education,EC,prcnt_politique,prcnt_journaliste,prcnt_medecin,prcnt_acteurjustsoc,prcnt_chercheur,prcnt_acteurecologie,prcnt_general,year,Brier,consensuality,order
2,2,145,2,0,75,17419,1,0,0,913,1,1773,5.3,2.7,3.6,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,7.3,47
2,2,151,2,0,30,17598,0,1,0,5945,1,1172,6.09090909090909,6.63636363636364,5.45454545454545,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.36363636363636,37
2,2,157,2,1,60,27898,0,0,1,3114,5,1751,5.63636363636364,6.45454545454545,6,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.54545454545455,31
2,2,161,2,0,80,24583,1,0,0,437,1,1602,5.72727272727273,6.18181818181818,6,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.81818181818182,44
2,2,164,3,0,30,16375,1,0,1,2294,5,1575,3.54545454545455,7.72727272727273,6.63636363636364,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.27272727272727,24
2,2,165,1,0,35,19759,1,0,0,757,1,1198,5,5.81818181818182,6.72727272727273,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.18181818181818,36
2,2,176,1,0,40,25186,0,1,1,1944,5,1916,3.27272727272727,3.09090909090909,6.90909090909091,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,6.90909090909091,28
2,2,178,1,1,30,29379,1,1,1,2716,5,1689,6.18181818181818,5.27272727272727,6.90909090909091,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.72727272727273,13
2,2,180,1,0,70,27372,1,0,1,3586,5,5030,3.7,3.7,6.7,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,6.3,18
2,2,182,1,0,75,14336,1,0,1,6576,10,4026,3.27272727272727,4,6.09090909090909,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,6,12
2,2,187,1,0,80,19200,1,0,0,2068,1,1855,4.18181818181818,6,6.54545454545455,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4,7
2,2,191,1,1,40,32866,1,1,0,2400,1,1770,3,5,6.81818181818182,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,5,48
2,2,192,1,0,15,27228,1,0,1,3007,5,1830,3,4.90909090909091,5.45454545454545,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,5.09090909090909,6
2,2,194,2,1,40,24244,0,0,1,1699,5,2496,7.6,8.3,7.5,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,1.7,32
2,2,205,2,1,75,19848,0,0,0,5212,1,1948,5.63636363636364,6.72727272727273,6.54545454545455,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.27272727272727,29
2,2,206,2,0,40,20847,0,1,1,6825,5,3180,6.8,8.8,8,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,1.2,1
2,2,209,2,1,60,18728,0,0,1,1590,5,2035,6.6,9.2,7.7,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,0.800000000000001,38
3,1,1,3,0,23,9882,0,1,0,2297,11,5880,4.54545454545455,6.45454545454545,7.36363636363636,67,67,24,57,100,100,17,38,50,45,31,55,29,2,2,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5929,3.54545454545455,5
3,1,2,1,1,56,6198,1,1,0,1287,16,2369,5.81818181818182,5.45454545454545,6.36363636363636,67,67,24,57,100,100,17,38,50,45,31,55,29,2,2,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5929,4.54545454545455,31
3,1,7,1,1,53,7965,1,1,0,1954,7,2435,4.90909090909091,5.90909090909091,4.63636363636364,67,67,24,57,100,100,17,38,50,45,31,55,29,2,2,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5929,4.09090909090909,19
3,1,12,1,0,27,8827,1,0,0,1519,15,2292,6.45454545454545,6.90909090909091,4.81818181818182,67,67,24,57,100,100,17,38,50,45,31,55,29,2,2,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5929,3.09090909090909,21
3,1,19,1,0,22,4646,1,0,0,1012,15,1628,4,7.36363636363636,7.81818181818182,67,67,24,57,100,100,17,38,50,45,31,55,29,2,2,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5929,2.63636363636364,16
3,1,21,1,1,19,16083,1,1,0,1686,16,3902,6.1,5,6.5,67,67,24,57,100,100,17,38,50,45,31,55,29,2,2,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.5929,5,29
