subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Méditerranée,FEMEN,Génération_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_réalistes,Mouvement_Européen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education
3,2,17,2,1,65,17120,1,1,1,2191,12,8681,5,2.9,3.9,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,128,2,1,-22,23120,0,0,1,984,21,3552,4.09090909090909,7.63636363636364,6.45454545454545,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,176,2,1,-98,12889,0,0,2,1138,25,2681,4.81818181818182,5.63636363636364,5.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,70,2,1,15,50893,1,1,1,1398,7,3104,5.09090909090909,7.81818181818182,7,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,187,2,0,35,25576,1,0,2,4785,11,5515,6,7.2,8.1,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,87,2,0,50,29546,1,0,2,3054,16,5152,6,7.6,8,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,151,2,0,-75,12803,0,1,1,734,21,4121,4.7,7.9,5,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,178,2,0,-33,34966,0,1,1,1168,18,4008,6.09090909090909,7.81818181818182,6.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,97,2,0,90,17991,1,0,2,1384,24,3507,4,6.54545454545455,5.90909090909091,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,113,2,1,-25,157404,0,0,1,760,17,6633,5.72727272727273,6.18181818181818,6,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,50,2,0,65,13652,1,0,2,3630,5,5881,5,5.81818181818182,6.72727272727273,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,182,3,0,-35,210978,0,1,1,1833,11,8482,6.54545454545455,7.27272727272727,6.36363636363636,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,104,1,0,-84,16348,0,1,2,2136,20,6448,3.63636363636364,4.36363636363636,6.36363636363636,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,161,1,0,45,138714,1,0,2,2656,10,5664,5.63636363636364,6.45454545454545,6,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,80,1,1,-99,21200,0,0,2,1087,25,5415,6.54545454545455,6.81818181818182,5.81818181818182,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,164,1,0,-95,60568,0,1,2,961,21,2362,4.2,4.6,6.8,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,145,1,0,-5,185728,0,1,1,1558,20,5723,3.27272727272727,4,5.45454545454545,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,103,1,0,35,37019,1,0,1,4320,11,4209,4.63636363636364,6.63636363636364,7.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,93,1,1,50,23588,1,1,2,3312,10,3752,3.27272727272727,5.27272727272727,5.72727272727273,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,31,1,0,-55,26178,0,1,2,2646,10,7361,3.8,4.3,7.1,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,28,2,1,50,43688,1,1,2,3278,13,4448,5.36363636363636,6,6.54545454545455,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,165,2,1,15,28865,1,1,1,1270,18,4769,6.1,5,4.4,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,74,2,0,-73,14466,0,1,2,1566,21,2424,4.63636363636364,6.63636363636364,6.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,157,2,1,-40,47772,0,0,1,1800,18,2872,3.81818181818182,7.36363636363636,6.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
4,2,161,1,1,63,93394,1,1,1,4139,1,2868,5.90909090909091,6.45454545454545,5.63636363636364,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,113,1,1,-53,30639,0,0,1,8206,1,2318,4.90909090909091,6.09090909090909,7.45454545454545,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,205,1,0,88,36194,1,0,1,2136,1,6033,4.72727272727273,7,5.90909090909091,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,34,1,1,20,77617,1,1,2,5432,1,3868,4.9,6,6.4,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,192,1,1,94,54451,1,1,1,5795,1,3641,6.54545454545455,8.36363636363636,7,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,180,1,0,-96,58743,0,1,2,5987,1,3061,4.72727272727273,7.45454545454545,6.63636363636364,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,191,1,1,81,142551,1,1,2,2300,1,4439,3.7,3.7,6.7,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,76,1,1,100,53858,1,1,1,3225,1,4395,6.09090909090909,7.18181818181818,5.54545454545455,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,164,3,0,-97,70819,0,1,2,4622,1,4113,6.8,8.8,8,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
4,2,178,3,0,-100,64194,0,1,2,3250,1,3210,4.45454545454545,6.36363636363636,6.63636363636364,83,67,19,33,74,83,60,26,48,60,33,45,24,2,4
